id,stock_code,stock_name,report_quarter,report_year,report_date,quarter_revenue,quarter_net_profit,quarter_deducted_net_profit,revenue_yoy,net_profit_yoy,deducted_net_profit_yoy,basic_eps,eps_yoy,bps,roe,gross_margin,ttm_revenue,ttm_net_profit,created_at
mm3mco4vqm4t0514s,600764,中国海防,2021Q1,2021,2021-03-31,865199210.88,61866249.23,50410353.34,181.1781097566,291.7323769231,,0.0871,,9.697576224296,0.9,29.4906713554,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vz0xfk1awx,600764,中国海防,2021Q2,2021,2021-06-30,1987776425.51,277864940.38,263181269.16,13.7522039776,24.95,,0.391,,10.006304217245,3.99,32.6169025233,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vbw84d1xrs,600764,中国海防,2021Q3,2021,2021-09-30,2976961010.7,449129127.14,429308250.43,6.5203819091,23.63,,0.632,,9.93365124183,6.39,34.1404361652,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vo1ad0rzfl,600764,中国海防,2021Q4,2021,2021-12-31,4874095537.68,848893798.95,815746336.47,4.3782457905,13.49,13.52,1.1946,11.4,10.472196880217,11.83,35.2832145003,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vlextdtdae,600764,中国海防,2022Q1,2022,2022-03-31,454448642.06,15410866.6,4534730.28,-47.4746813976,-75.09,-91,0.0217,-75.09,10.493883102183,0.21,37.7581647273,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vd5a9p9o3r,600764,中国海防,2022Q2,2022,2022-06-30,1478135289.75,143821561.55,116745011.05,-25.6387554063,-48.24,-55.64,0.2024,-48.24,10.682544280613,1.91,33.1242787988,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vmtduis8b3,600764,中国海防,2022Q3,2022,2022-09-30,2557666588.99,231616940.15,195964582.45,-14.0846460603,-48.43,-54.35,0.3259,-48.43,10.448186832046,3.07,30.1140100975,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vjgorwnygk,600764,中国海防,2022Q4,2022,2022-12-31,4291537872.79,584813629.99,518403960.14,-11.9521183035,-31.09,-36.45,0.823,-31.11,10.948019734326,7.56,31.2526112761,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4v9pl02xi6n,600764,中国海防,2023Q1,2023,2023-03-31,436760113.98,15547728.77,5627468.61,-3.8923051898,0.89,24.1,0.0219,0.92,10.971608326946,0.2,39.3576611686,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4viuaty74to,600764,中国海防,2023Q2,2023,2023-06-30,1355097976.83,90231720.96,64670645.66,-8.3238194618,-37.26,-44.61,0.127,-37.25,11.077801829321,1.15,32.5107822322,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vzi6alawyj,600764,中国海防,2023Q3,2023,2023-09-30,1939821478.82,122692905.41,85771655.18,-24.1565930771,-47.03,-56.23,0.1727,-47.01,10.877552970839,1.57,33.0476808763,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4vvq6i64l5e,600764,中国海防,2023Q4,2023,2023-12-31,3591599697.39,308583121.47,238605732.29,-16.309728497,-47.23,-53.97,0.4342,-47.24,11.354239033425,3.88,30.8793464563,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
mm3mco4v9qn28ho5w,600764,中国海防,2024Q1,2024,2024-03-31,358290921.88,3910201.56,-968205.93,-17.9661991991,-74.85,,0.0055,-74.89,11.360716768276,0.05,43.2866880066,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
