id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,created_at
mm1m2y8bewb3bquj4,688083,中望软件,2026-02-02,1,68.950,67.770,69.870,67.670,2595369.000,2026-02-25T05:46:16.907Z
mm1m2y8b5mxl4jjzu,688083,中望软件,2026-02-03,1,68.100,68.840,68.960,67.520,1598099.000,2026-02-25T05:46:16.907Z
mm1m2y8bg7d6d1kve,688083,中望软件,2026-02-04,1,68.340,66.790,68.820,66.100,2948121.000,2026-02-25T05:46:16.907Z
mm1m2y8bg7jo7ujml,688083,中望软件,2026-02-05,1,66.200,66.990,67.760,65.860,2706438.000,2026-02-25T05:46:16.907Z
mm1m2y8b5mzm5a9d8,688083,中望软件,2026-02-06,1,66.500,67.010,68.410,65.800,1913647.000,2026-02-25T05:46:16.907Z
mm1m2y8bedc4gc62o,688083,中望软件,2026-02-09,1,67.770,67.950,68.310,67.300,1603919.000,2026-02-25T05:46:16.907Z
mm1m2y8brxvaewtc5,688083,中望软件,2026-02-10,1,68.000,68.210,68.780,67.540,1329388.000,2026-02-25T05:46:16.907Z
mm1m2y8bil03j1gs4,688083,中望软件,2026-02-11,1,68.110,68.970,69.530,67.920,1662505.000,2026-02-25T05:46:16.907Z
mm1m2y8bo3bdd29ns,688083,中望软件,2026-02-12,1,69.090,68.860,69.180,68.100,1423283.000,2026-02-25T05:46:16.907Z
mm1m2y8baadp2pzhd,688083,中望软件,2026-02-13,1,68.300,68.050,69.500,68.050,1256201.000,2026-02-25T05:46:16.907Z
mm1m2y8bqoz4k63q2,688083,中望软件,2026-02-24,1,68.390,66.430,68.450,66.130,2289976.000,2026-02-25T05:46:16.907Z
mm1m2y8bictityazi,688083,中望软件,2026-02-25,1,66.46,66.37,66.98,66.06,1555140,2026-02-25T05:46:16.907Z
mm1m2yqohvf5rn4yn,002236,大华股份,2026-01-06,1,19.250,19.400,19.460,19.210,541072.000,2026-02-25T05:46:17.568Z
mm1m2yqov6cxlkdsr,002236,大华股份,2026-01-07,1,19.410,19.370,19.720,19.250,657600.000,2026-02-25T05:46:17.568Z
mm1m2yqodyurse3vv,002236,大华股份,2026-01-08,1,19.330,19.290,19.440,19.150,513097.000,2026-02-25T05:46:17.568Z
mm1m2yqooc4f9oytn,002236,大华股份,2026-01-09,1,19.180,19.680,19.680,19.170,613693.000,2026-02-25T05:46:17.568Z
mm1m2yqop951ewk3w,002236,大华股份,2026-01-12,1,19.880,20.610,20.670,19.870,1144828.000,2026-02-25T05:46:17.568Z
mm1m2yqox6u9x7mef,002236,大华股份,2026-01-13,1,20.880,20.090,20.960,19.990,997703.000,2026-02-25T05:46:17.568Z
mm1m2yqo3yf5flt57,002236,大华股份,2026-01-14,1,20.100,20.400,20.810,20.090,1072575.000,2026-02-25T05:46:17.568Z
mm1m2yqodkyhfpxwk,002236,大华股份,2026-01-15,1,20.200,20.400,20.590,20.180,560239.000,2026-02-25T05:46:17.568Z
mm1m2yqo4uhrc3a7m,002236,大华股份,2026-01-16,1,20.520,20.480,20.670,20.080,717169.000,2026-02-25T05:46:17.568Z
mm1m2yqo7dk29jts9,002236,大华股份,2026-01-19,1,20.480,20.320,20.690,20.280,489766.000,2026-02-25T05:46:17.568Z
mm1m2yqodagk8gy47,002236,大华股份,2026-01-20,1,20.350,20.100,20.480,19.930,518812.000,2026-02-25T05:46:17.568Z
mm1m2yqolrxnvyn1g,002236,大华股份,2026-01-21,1,20.150,20.950,21.400,20.150,1330848.000,2026-02-25T05:46:17.568Z
mm1m2yqol55euxgu8,002236,大华股份,2026-01-22,1,21.000,20.760,21.160,20.720,634734.000,2026-02-25T05:46:17.568Z
mm1m2yqocwktcsigb,002236,大华股份,2026-01-23,1,20.760,20.950,20.950,20.660,610305.000,2026-02-25T05:46:17.568Z
mm1m2yqo7zlmsarez,002236,大华股份,2026-01-26,1,20.880,20.170,20.880,20.060,978448.000,2026-02-25T05:46:17.568Z
mm1m2yqoddgt0qskb,002236,大华股份,2026-01-27,1,20.100,19.940,20.200,19.570,681170.000,2026-02-25T05:46:17.568Z
mm1m2yqo4wf5qetrd,002236,大华股份,2026-01-28,1,19.900,19.750,20.090,19.700,502323.000,2026-02-25T05:46:17.568Z
mm1m2yqouy3kfpzfi,002236,大华股份,2026-01-29,1,19.650,19.380,19.820,19.260,627098.000,2026-02-25T05:46:17.568Z
mm1m2yqo925s3utqu,002236,大华股份,2026-01-30,1,19.280,18.960,19.340,18.600,604679.000,2026-02-25T05:46:17.568Z
